username,ordering,start_time,end_time,q0_start,q0_end,q0_answer,q0_difficulty,q1_start,q1_end,q1_answer,q1_difficulty,q2_start,q2_end,q2_answer,q2_difficulty,q3_start,q3_end,q3_answer,q3_difficulty,q4_start,q4_end,q4_answer,q4_difficulty,q5_start,q5_end,q5_answer,q5_difficulty,q6_start,q6_end,q6_answer,q6_difficulty,q7_start,q7_end,q7_answer,q7_difficulty,q8_start,q8_end,q8_answer,q8_difficulty,q9_start,q9_end,q9_answer,q9_difficulty,q10_start,q10_end,q10_answer,q10_difficulty,q11_start,q11_end,q11_answer,q11_difficulty,q12_start,q12_end,q12_answer,q12_difficulty,q13_start,q13_end,q13_answer,q13_difficulty,q14_start,q14_end,q14_answer,q14_difficulty,q15_start,q15_end,q15_answer,q15_difficulty,q16_start,q16_end,q16_answer,q16_difficulty,q17_start,q17_end,q17_answer,q17_difficulty,q18_start,q18_end,q18_answer,q18_difficulty,q19_start,q19_end,q19_answer,q19_difficulty,q20_start,q20_end,q20_answer,q20_difficulty
Javad,A_first,2025-03-28 12:37:26.126000,,2025-03-28 12:37:26.134000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javad,B_first,2025-03-28 12:37:31.891000,2025-03-28 13:05:30.008000,2025-03-28 12:37:31.900000,,,,2025-03-28 13:05:15.179000,2025-03-28 13:05:15.172000,No,3,2025-03-28 13:05:22.519000,,,,2025-03-28 13:05:25.558000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-28 13:05:30.003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javad,B_first,2025-03-28 13:08:46.847000,,2025-03-28 13:08:46.857000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff,B_first,2025-03-30 07:30:30.918000,,2025-03-30 07:30:30.980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd,B_first,2025-03-30 07:34:59.375000,,2025-03-30 07:34:59.407000,,,,2025-03-30 14:50:30.335000,,,,2025-03-30 14:50:18.439000,,,,2025-03-30 14:50:24.768000,,,,,,,,2025-03-30 14:50:27.388000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial,A_first,2025-03-31 08:50:43.801000,2025-03-31 08:51:36.553000,2025-03-31 08:50:43.822000,,,,2025-03-31 08:50:55.552000,2025-03-31 08:50:55.535000,No,3,2025-03-31 08:50:59.130000,2025-03-31 08:51:24.692000,No,3,2025-03-31 08:51:02.612000,2025-03-31 08:51:29.988000,No,3,2025-03-31 08:51:06.078000,2025-03-31 08:51:33.413000,No,3,2025-03-31 08:51:09.323000,2025-03-31 08:51:36.524000,No,3,2025-03-31 08:51:12.727000,2025-03-31 08:50:59.107000,No,3,2025-03-31 08:51:24.724000,2025-03-31 08:51:02.593000,No,3,2025-03-31 08:51:30.016000,2025-03-31 08:51:06.059000,No,3,2025-03-31 08:51:33.449000,2025-03-31 08:51:09.299000,No,3,2025-03-31 08:51:36.542000,2025-03-31 08:51:12.691000,No,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii,B_first,2025-03-31 10:42:28.312000,,2025-03-31 10:42:29.827000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa,B_first,2025-03-31 16:23:54.829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna,A_first,2025-03-31 17:26:49.623000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa,B_first,2025-03-31 17:36:23.985000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa,B_first,2025-03-31 17:37:10.350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javad,A_first,2025-04-01 14:04:22.426000,2025-04-01 14:05:33.605000,,,,,,2025-04-01 14:04:24.640000,No,3,,2025-04-01 14:04:53.819000,Yes,3,,2025-04-01 14:04:26.339000,No,3,,2025-04-01 14:04:56.517000,No,3,,2025-04-01 14:04:59.492000,No,3,,2025-04-01 14:04:28.302000,Yes,3,,2025-04-01 14:05:02.394000,No,3,,2025-04-01 14:05:05.465000,No,3,,2025-04-01 14:05:10.292000,No,3,,2025-04-01 14:05:14.755000,No,3,,,,,,2025-04-01 14:04:32.392000,Yes,2,,2025-04-01 14:04:34.213000,No,3,,2025-04-01 14:05:17.626000,No,3,,2025-04-01 14:04:36.585000,Yes,3,,,,,,2025-04-01 14:04:42.204000,No,4,,2025-04-01 14:05:21.168000,No,3,,,,,,2025-04-01 14:05:33.593000,No,3
Javad,A_first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley,A_first,2025-04-01 14:59:54.151000,2025-04-01 15:47:10.599000,,,,,,2025-04-01 15:05:09.305000,Yes,3,,2025-04-01 15:27:40.030000,No,3,,2025-04-01 15:08:47.628000,Yes,2,,2025-04-01 15:31:29.030000,Yes,3,,2025-04-01 15:34:48.077000,Yes,4,,,,,,,,,,2025-04-01 15:40:00.661000,Yes,1,,2025-04-01 15:42:29.816000,Yes,2,,2025-04-01 15:44:59.164000,Yes,1,,2025-04-01 15:20:56.721000,Yes,2,,2025-04-01 15:23:24.634000,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
